word,wordFreq,letterFreqSum,letterPosFreqSum
CREEK,38159464.0,2812,1073
LANCE,5509634.0,3969,1100
EAGLE,16785232.0,3231,1027
IDIOT,4635830.0,2545,705
SIREN,1354779.0,4038,1177
BUILT,61502894.0,2861,1039
EMBED,1217930.0,2219,602
AWARD,59652161.0,2459,758
DROSS,154345.0,2711,828
ANNUL,146490.0,2730,601
GOODY,733518.0,1880,1070
FROWN,742356.0,2646,800
PATIO,7627536.0,3492,772
LADEN,5964620.0,3887,914
HUMID,1026485.0,2232,591
ELITE,12673836.0,3345,1099
LYMPH,1781845.0,2208,357
EDIFY,69341.0,2946,757
MIGHT,123196001.0,2412,656
RESET,10021033.0,3524,997
VISIT,187062316.0,2219,735
GUSTO,512932.0,2926,577
PURSE,5488891.0,3626,1082
VAPOR,3744912.0,3142,748
CROCK,918524.0,2335,971
WRITE,126645151.0,3720,1176
SUNNY,9497382.0,2131,1233
LOATH,151677.0,3560,948
CHAFF,294863.0,2066,709
SLIDE,22339084.0,3677,1322
QUEER,2717979.0,2622,915
VENOM,1883158.0,3024,595
STAMP,9760468.0,3053,872
SORRY,35595812.0,2742,1321
STILL,190433487.0,2783,1025
ACORN,1825652.0,3673,703
APING,42534.0,2893,690
PUSHY,255990.0,2310,798
TAMER,355602.0,4147,1044
HATER,467834.0,4218,1014
MANIA,3688699.0,2534,769
AWOKE,688520.0,3362,904
BRAWN,191036.0,2919,901
SWIFT,5850031.0,2490,963
EXILE,2801261.0,2653,936
BIRCH,2936180.0,2709,824
LUCKY,14053901.0,2291,747
FREER,534734.0,2356,1109
RISKY,2412508.0,2869,805
GHOST,14490042.0,2847,926
PLIER,260940.0,3878,1137
LUNAR,3611744.0,3627,783
WINCH,1016374.0,2299,707
SNARE,1311615.0,4343,1330
NURSE,16772151.0,3834,978
HOUSE,231310420.0,3504,1106
BORAX,172497.0,2942,785
NICER,1239249.0,3845,824
LURCH,204983.0,2941,722
EXALT,193526.0,3687,807
ABOUT,1226734006.0,3203,734
SAVVY,3140230.0,2219,1127
TOXIN,1495922.0,2762,728
TUNIC,727598.0,2913,660
PRIED,82841.0,3555,1110
INLAY,965778.0,3358,759
CHUMP,270215.0,2009,631
LANKY,146488.0,2898,947
CRESS,279364.0,3270,849
EATER,1702828.0,3831,1017
ELUDE,215496.0,2805,928
CYCLE,29585286.0,2845,860
KITTY,6414935.0,2033,835
BOULE,116726.0,3445,1201
MORON,1017416.0,2539,811
TENET,834143.0,2532,1098
PLACE,220970235.0,3761,1219
LOBBY,6887477.0,2173,810
PLUSH,4692870.0,2602,814
VIGIL,1183443.0,1848,624
INDEX,242826246.0,2903,522
BLINK,5257629.0,2449,934
CLUNG,365864.0,2540,786
